"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"van Oosten J.M.F.; Vandenbosch L.; Peter J.","van Oosten, Johanna M.F. (55524286700); Vandenbosch, Laura (52564604400); Peter, Jochen (7202157095)","55524286700; 52564604400; 7202157095","Predicting the use of visually oriented social media: The role of psychological well-being, body image concerns and sought appearance gratifications","2023","Computers in Human Behavior","144","","107730","","","25","10.1016/j.chb.2023.107730","https://www.scopus.com/pages/publications/85149793831?origin=resultslist","Amsterdam School of Communication Research (ASCoR), University of Amsterdam, Nieuwe Achtergracht 166, WV, Amsterdam, 1018, Netherlands; School for Mass Communication Research, KU Leuven, Parkstraat 42, Leuven, 3000, Belgium","van Oosten J.M.F., Amsterdam School of Communication Research (ASCoR), University of Amsterdam, Nieuwe Achtergracht 166, WV, Amsterdam, 1018, Netherlands; Vandenbosch L., School for Mass Communication Research, KU Leuven, Parkstraat 42, Leuven, 3000, Belgium; Peter J., Amsterdam School of Communication Research (ASCoR), University of Amsterdam, Nieuwe Achtergracht 166, WV, Amsterdam, 1018, Netherlands","The present study examined the antecedents of visually oriented social media use based on the Transactional Model of Social Media and Body Image Concerns. Specifically, we studied how self-esteem, depressive symptoms, body dissatisfaction, and appearance consciousness within the social media context are, via two social media gratifications (i.e., appearance related self-validation and social comparison), related to the use of visually oriented social media platforms (i.e., Instagram and Snapchat). Based on data from a two-wave panel survey among 1852 social media users aged 13–25, we found that appearance consciousness and high self-esteem were significant predictors of the gratifications self-validation and social comparison. Increased body dissatisfaction also predicted social comparison. Appearance consciousness and self-esteem indirectly predicted the selection of visually oriented social media platforms via self-validation. These findings enhance our theoretical understanding of visually oriented social media use and its underlying mechanisms. © 2023 The Authors","Adolescents; Body image; Emerging adults; Longitudinal research; Youth","Adolescent; Body image; Emerging adult; Longitudinal research; Media use; Self esteem; Self validations; Social media; Social media platforms; Youth; Social networking (online)","Elsevier Ltd","07475632","","CHBEE","","English","Comput. Hum. Behav.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149793831"
"Hilty D.M.; Stubbe D.; Mckean A.J.; Hoffman P.E.; Zalpuri I.; Myint M.T.; Joshi S.V.; Pakyurek M.; Li S.-T.T.","Hilty, Donald M. (6603862457); Stubbe, Dorothy (6603664038); Mckean, Alastair J. (55087159100); Hoffman, Pamela E. (57201519983); Zalpuri, Isheeta (56479214000); Myint, Myo T. (57203309228); Joshi, Shashank V. (55466287900); Pakyurek, Murat (6507097551); Li, Su-Ting T. (16069023800)","6603862457; 6603664038; 55087159100; 57201519983; 56479214000; 57203309228; 55466287900; 6507097551; 16069023800","A scoping review of social media in child, adolescents and young adults: research findings in depression, anxiety and other clinical challenges","2023","BJPsych Open","9","5","e152","","","43","10.1192/bjo.2023.523","https://www.scopus.com/pages/publications/85169324181?origin=resultslist","Department of Psychiatry and Behavioral Sciences, University of California, Davis, CA, United States; Child Study Center, Yale School of Medicine, CT, United States; Department of Psychiatry and Psychology, Mayo Clinic, MN, United States; Department of Psychiatry & Behavioral Science, Yale School of Medicine, CT, United States; Department of Psychiatry & Behavioral Science, Stanford University Medical Center, CA, United States; Department of Psychiatry & Behavioral Science, Tulane University, School of Medicine, LA, United States; Division of Child and Adolescent Psychiatry, University of California, Davis School of Medicine, CA, United States; Department of Pediatrics, University of California, Davis School of Medicine, CA, United States; Mental Health, Veterans Affairs Northern California Health Care System, CA, United States","Hilty D.M., Department of Psychiatry and Behavioral Sciences, University of California, Davis, CA, United States, Mental Health, Veterans Affairs Northern California Health Care System, CA, United States; Stubbe D., Child Study Center, Yale School of Medicine, CT, United States; Mckean A.J., Department of Psychiatry and Psychology, Mayo Clinic, MN, United States; Hoffman P.E., Department of Psychiatry & Behavioral Science, Yale School of Medicine, CT, United States; Zalpuri I., Department of Psychiatry & Behavioral Science, Stanford University Medical Center, CA, United States; Myint M.T., Department of Psychiatry & Behavioral Science, Tulane University, School of Medicine, LA, United States; Joshi S.V., Department of Psychiatry & Behavioral Science, Stanford University Medical Center, CA, United States; Pakyurek M., Division of Child and Adolescent Psychiatry, University of California, Davis School of Medicine, CA, United States; Li S.-T.T., Department of Pediatrics, University of California, Davis School of Medicine, CA, United States","Background: Social media and other technologies are reshaping communication and health. Aims: This review addresses the relationship between social media use, behavioural health conditions and psychological well-being for youth aged <25 years. Method: A scoping review of 11 literature databases from 2000 to 2020 explored research studies in youth in five areas: clinical depression and anxiety, quantitative use, social media mode, engagement and qualitative dimensions and health and well-being. Results: Out of 2820 potential literature references, 140 met the inclusion criteria. The foci were clinical depression and anxiety disorders (n = 78), clinical challenges (e.g. suicidal ideation, cyberbullying) (n = 34) and psychological well-being (n = 28). Most studies focused on Facebook, Twitter, Instagram and YouTube. Few studies are longitudinal in design (n = 26), had comparison groups (n = 27), were randomised controlled trials (n = 3) or used structured assessments (n = 4). Few focused on different youth and sociodemographic populations, particularly for low-income, equity-seeking and deserving populations. Studies examined association (n = 120; 85.7%), mediating (n = 16; 11.4%) and causal (n = 4; 2.9%) relationships. Prospective, longitudinal studies of depression and anxiety appear to indicate that shorter use (≤3 h/day) and purposeful engagement is associated with better mood and psychological well-being. Depression may predict social media use and reduce perception of support. Findings provide families, teachers and providers ways to engage youth. Conclusions: Research opportunities include clinical outcomes from functional perspective on a health continuum, diverse youth and sociodemographic populations, methodology, intervention and privacy issues. More longitudinal studies, comparison designs and effectiveness approaches are also needed. Health systems face clinical, training and professional development challenges. Copyright © 2023 The Author(s).","adolescents; children; Social media; suicide; youth","hydrocortisone; academic achievement; adolescent; adolescent depression; adult; anxiety disorder; child; college student; cyberbullying; depression; fear of missing out; health behavior; health equity; human; internet use; life satisfaction; loneliness; lowest income group; machine learning; motivational interviewing; psychological well-being; randomized controlled trial (topic); Review; saliva level; screen time; self esteem; sexting; social capital; social media; social media addiction; social support; sociodemographics; student burnout; suicidal ideation; suicide attempt; young adult","Cambridge University Press","20564724","","","","English","BJPsych Open","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85169324181"
"Forniés G.C.; Juliá-Sanchis R.","Forniés, Gloria Carbonell (58181483900); Juliá-Sanchis, Rocío (57201733182)","58181483900; 57201733182","Influence ofsocial networks on the self-esteem, body image andbody satisfaction ofadolescents and young persons; [Influencia de las redes sociales en la autoestima, imagen corporal y satisfacción corporal de adolescentes y jóvenes]","2023","Metas de Enfermeria","26","2","","58","69","4","10.35667/MetasEnf.2023.26.1003082058","https://www.scopus.com/pages/publications/85152449676?origin=resultslist","Hospital General Universitario de Elda. Elda, Alicante, Spain; Departamento de Enfermería, Universidad de Alicante, Instituto de Investigación Sanitaria y Biomédica de Alicante (ISABIAL), Alicante, Spain","Forniés G.C., Hospital General Universitario de Elda. Elda, Alicante, Spain; Juliá-Sanchis R., Departamento de Enfermería, Universidad de Alicante, Instituto de Investigación Sanitaria y Biomédica de Alicante (ISABIAL), Alicante, Spain","Objective: to explore the relationship between the use of social networks and the self-esteem, body image and body satisfaction of adolescents and young adults. Methods: a narrative review was conducted. There was a bibliographic search in the PubMed, CINAHL and PsycInfo databases, for articles published during the 2017-2022 period, using the descriptors“young adult”, “adolescent”, “socialmedia”, “body dissatisfaction”, “body image” and“self-concept”; as well as natural language. Articles with a male and/or female population sample between 12 and 30 years of age were included., with social networks mentioned generically or specifically (Instagram, TikTok and/or Facebook), and analysing the relationship between social networks and some of the following constructs: self-esteem, corporal image, and/or body satisfaction/dissatisfaction, either individually or as a whole. Results: out of the 536 initial records, 29 articles met the selection criteria and were reviewed in depth. Findings were grouped into four themes associated with the constructs to be studied: social comparison, feedback, dedication, and trends in social networks. Conclusion: social networks have a negative impact on body satisfaction and body image, although their impact on self-esteem is influenced by the feedback received for the images published and the time invested. The new #bodypositive trend is associated with higher psychological, social and emotional wellbeing, healthier habits and improvements in self-care, as well as being a protective factor against body dissatisfaction. It is necessary to develop Nursing interventions for health promotion and prevention in the school and community settings, based on these findings. © 2023 DAE Editorial, Grupo Paradigma. All rights reserved.","adolescent; body image; body satisfaction; self image; self-esteem; Social media","","DAE Editorial, Grupo Paradigma","11387262","","","","Spanish","Metas de Enfermeria","Review","Final","","Scopus","2-s2.0-85152449676"
"Casanova-Garrigós G.; Torrubia-Pérez E.; Reverté N.C.; Fernández J.C.; Mora-López G.; Albacar-Riobóo N.","Casanova-Garrigós, Georgina (57193432537); Torrubia-Pérez, Elisabet (57325959300); Reverté, Natividad Cañellas (59698140300); Fernández, Jesica Capera (59697722400); Mora-López, Gerard (57188812909); Albacar-Riobóo, Núria (35273278100)","57193432537; 57325959300; 59698140300; 59697722400; 57188812909; 35273278100","Influence of social networks on adolescent body image. An integrative review; [Influencia de las redes sociales en la imagen corporal de adolescentes: una revisión integrativa]","2025","Enfermeria Global ","24","1","e622331","1","16","2","10.6018/eglobal.622331","https://www.scopus.com/pages/publications/105000319134?origin=resultslist","Departamento de Enfermería, Universitat Rovira i Virgili, Campus Terres de l’Ebre, Tarragona, Spain; Grup de Recerca en Infermeria Avançada SGR 1030, Universitat Rovira i Virgili, Tarragona, Spain","Casanova-Garrigós G., Departamento de Enfermería, Universitat Rovira i Virgili, Campus Terres de l’Ebre, Tarragona, Spain, Grup de Recerca en Infermeria Avançada SGR 1030, Universitat Rovira i Virgili, Tarragona, Spain; Torrubia-Pérez E., Departamento de Enfermería, Universitat Rovira i Virgili, Campus Terres de l’Ebre, Tarragona, Spain, Grup de Recerca en Infermeria Avançada SGR 1030, Universitat Rovira i Virgili, Tarragona, Spain; Reverté N.C., Departamento de Enfermería, Universitat Rovira i Virgili, Campus Terres de l’Ebre, Tarragona, Spain, Grup de Recerca en Infermeria Avançada SGR 1030, Universitat Rovira i Virgili, Tarragona, Spain; Fernández J.C., Departamento de Enfermería, Universitat Rovira i Virgili, Campus Terres de l’Ebre, Tarragona, Spain, Grup de Recerca en Infermeria Avançada SGR 1030, Universitat Rovira i Virgili, Tarragona, Spain; Mora-López G., Departamento de Enfermería, Universitat Rovira i Virgili, Campus Terres de l’Ebre, Tarragona, Spain, Grup de Recerca en Infermeria Avançada SGR 1030, Universitat Rovira i Virgili, Tarragona, Spain; Albacar-Riobóo N., Departamento de Enfermería, Universitat Rovira i Virgili, Campus Terres de l’Ebre, Tarragona, Spain, Grup de Recerca en Infermeria Avançada SGR 1030, Universitat Rovira i Virgili, Tarragona, Spain","Introduction: During adolescence, the foundations of figure and appearance are laid, and constructs such as self-concept, self-esteem and body image make sense. It is a stage of evolutionary development characterized by the search and consolidation of one’s own identity, in the development and acquisition of which social networks have a considerable influence. Objective: To analyze the available scientific evidence on the influence of social networks on adolescents’ body image. Methods: An Integrative review of the literature published in the last 5 years, carried out between January and March 2024, in the databases Pubmed, Psicodoc, CINAHL, Cuiden, Scopus and Web of Science databases, following the phased process of the PRISMA statement. The search covered the period January to March 2024. We used health sciences descriptors (DeCS) “mental health”, “adolescent”, “social network”, “self-image”, “body image”, “Internet addiction disorder” and their English equivalents (MeSH). The AND and OR operators were used to combine them. A total of 19 articles were included. Results: 19 articles were identified through the established selection criteria. The results indicated that there is a relationship between excessive use of social media and a low assessment of body image among adolescents. Conclusions: Excessive use of social network negatively influences the self-esteem and self-concept of adolescents. The most used social networks with the greatest impact on the health and well-being of young people is Instagram followed by YouTube. Furthermore, it has been seen that there are differences in the use and impact that these have between girls and boys, with the former being the most affected and those who spend the most time. © (2025), (Universidad de Murcia Servicio de Publicaciones). All rights reserved.","Adolescentes; autoestima; body image; enfermería; imagen corporal; nursing; redes sociales; self-esteem; social networks; Teenagers","","Universidad de Murcia Servicio de Publicaciones","16956141","","","","English","Enferm. Global","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000319134"
"Alkheyr Z.; Murad M.; Das P.; Aljenaee K.; Kamel C.; Hajji S.A.; Flood J.; Atkin S.L.; Ali K.F.","Alkheyr, Zainab (59004705800); Murad, Mariam (58885145900); Das, Priya (57217119116); Aljenaee, Khaled (56320231700); Kamel, Charlotte (56865973100); Hajji, Sulaiman Ali (57219021754); Flood, John (59004093700); Atkin, Stephen L. (7005293560); Ali, Khawla F. (57209204206)","59004705800; 58885145900; 57217119116; 56320231700; 56865973100; 57219021754; 59004093700; 7005293560; 57209204206","Self-esteem and body image satisfaction in women with PCOS in the Middle East: Cross-sectional social media study","2024","PLoS ONE","19","4 April","e0301707","","","17","10.1371/journal.pone.0301707","https://www.scopus.com/pages/publications/85191450611?origin=resultslist","Royal College of Surgeons in Ireland-Medical, University of Bahrain, Adliya, Bahrain; Al-Adan Hospital, Kuwait City, Kuwait","Alkheyr Z., Royal College of Surgeons in Ireland-Medical, University of Bahrain, Adliya, Bahrain; Murad M., Royal College of Surgeons in Ireland-Medical, University of Bahrain, Adliya, Bahrain; Das P., Royal College of Surgeons in Ireland-Medical, University of Bahrain, Adliya, Bahrain; Aljenaee K., Al-Adan Hospital, Kuwait City, Kuwait; Kamel C., Royal College of Surgeons in Ireland-Medical, University of Bahrain, Adliya, Bahrain; Hajji S.A., Al-Adan Hospital, Kuwait City, Kuwait; Flood J., Royal College of Surgeons in Ireland-Medical, University of Bahrain, Adliya, Bahrain; Atkin S.L., Royal College of Surgeons in Ireland-Medical, University of Bahrain, Adliya, Bahrain; Ali K.F., Royal College of Surgeons in Ireland-Medical, University of Bahrain, Adliya, Bahrain","Background Polycystic ovary syndrome (PCOS) is the most common endocrine disorder in women of childbearing age, associated with increased incidence of emotional disorders, anxiety and depression. Objective The aim was of this study was to investigate whether those women reporting PCOS differed to women without PCOS in measures of psychological well-being including body-image satisfaction and self-esteem across a Middle Eastern population. Materials and methods An online survey link of 21 questions was shared and distributed across social media platforms (Instagram and WhatsApp). The main outcome measured was levels of self-esteem and body image satisfaction in association with symptoms experienced by the participants. Results 12, 199 female subjects completed the survey of whom 3, 329 respondents (27.3%) self-reported a diagnosis of PCOS. PCOS respondents felt less attractive compared to non-PCOS respondents (73.9% vs 80.5%, p<0.0001). More respondents with PCOS reported avoidance of their reflection in the mirror (61.7% vs 49.8%, p<0.001) and avoidance of social interactions (22.3% vs 32.3%, p<0.0001). More PCOS respondents wanted to lose weight (75.2% vs 68.5%, p<0.001) with increasing weight being associated with being less attractive (p<0.001). Fewer PCOS respondents felt satisfied/confident compared non-PCOS respondents (38.6% vs 50.7%, p<0.001). Conclusion PCOS respondents reported significantly lower measures of self-esteem and body image satisfaction compared to non-PCOS respondents in this population. © 2024 Alkheyr et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Adolescent; Adult; Body Image; Cross-Sectional Studies; Female; Humans; Middle East; Personal Satisfaction; Polycystic Ovary Syndrome; Self Concept; Social Media; Surveys and Questionnaires; Young Adult; acanthosis nigricans; Adolescent Body Image Satisfaction Scale; adult; anxiety; Article; attitude to health; avoidance behavior; body height; body image; body mass; body weight; caloric intake; cesarean section; cross-sectional study; Eating Disorder Examination Questionnaire; emotion; emotional disorder; endocrine disease; female; homeostasis model assessment; human; human experiment; hyperandrogenism; intra-abdominal fat; menstrual cycle; obesity; ovary polycystic disease; psychological well-being; satisfaction; self esteem; social interaction; social media; structured questionnaire; adolescent; Middle East; ovary polycystic disease; psychology; questionnaire; satisfaction; self concept; social media; young adult","Public Library of Science","19326203","","POLNC","38662709","English","PLoS ONE","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85191450611"
"Couto L.; Willoughby J.F.","Couto, Leticia (57218957404); Willoughby, Jessica Fitts (54785361000)","57218957404; 54785361000","#LoveYourBody: An Experimental Test of the Effects of Objectification and Body Appreciation Content on Instagram Fitness and Health Posts Among Young Women","2024","Health Communication","39","11","","2298","2306","14","10.1080/10410236.2023.2265647","https://www.scopus.com/pages/publications/85174582162?origin=resultslist","Edward R. Murrow College of Communication, Washington State University, United States","Couto L., Edward R. Murrow College of Communication, Washington State University, United States; Willoughby J.F., Edward R. Murrow College of Communication, Washington State University, United States","Fitspiration content on Instagram often includes images in which women are objectified but may also include captions that aim to positively motivate viewers, such as through messaging about body appreciation. Viewing objectifying content in fitspiration posts may be problematic for young women’s mental health, but it’s unclear if positive messaging may help to alleviate some of these effects. In this study, we conducted a 2 × 2 online experiment assessing the effects of body appreciation and objectification content present in Instagram fitness posts by influencers on young women (N = 200). The outcome variables were state body appreciation, trait body appreciation, self-esteem, and self-compassion. We found an interaction between the presence and absence of objectification and presence and absence of body appreciation that significantly influenced self-compassion and body appreciation. The interaction suggests that self-compassion and state body appreciation are higher in the presence of body appreciation messaging, although there were not main effects for just viewing objectifying images or body appreciation captions. This means that just body appreciation or just objectification may not affect state body appreciation and self-compassion, but the two together have an effect. Our findings suggest that body appreciation captions may serve as a protective factor for self-compassion and state body appreciation when young women view Instagram fitspiration posts that include sexual objectification. Health communicators could encourage influencers to include body appreciation content in their fitspiration posts to help improve self-compassion among viewers, and interventions could work to promote body appreciation among young women to encourage self-compassion. © 2023 Taylor & Francis Group, LLC.","","Adolescent; Adult; Body Image; Empathy; Female; Humans; Physical Fitness; Self Concept; Social Media; Young Adult; adult; article; controlled study; experimental test; female; human; human experiment; major clinical study; outcome variable; self compassion; self esteem; social media; adolescent; body image; empathy; fitness; psychology; self concept; young adult","Routledge","10410236","","","37872682","English","Health Commun.","Article","Final","","Scopus","2-s2.0-85174582162"
"Arnani N.P.R.; Nindhita V.","Arnani, Ni Putu Rizky (58966745300); Nindhita, Vidya (58949763900)","58966745300; 58949763900","Please look at me? Connecting self esteem and online self-presentation among teenagers on social media instagram","2024","E3S Web of Conferences","499","","01023","","","3","10.1051/e3sconf/202449901023","https://www.scopus.com/pages/publications/85189242123?origin=resultslist","Program study of Psychology, Department of Social Science and Culture Science, Faculty of Social Science and Culture Science, Universitas Trunojoyo Madura, Bangkalan, Indonesia","Arnani N.P.R., Program study of Psychology, Department of Social Science and Culture Science, Faculty of Social Science and Culture Science, Universitas Trunojoyo Madura, Bangkalan, Indonesia; Nindhita V., Program study of Psychology, Department of Social Science and Culture Science, Faculty of Social Science and Culture Science, Universitas Trunojoyo Madura, Bangkalan, Indonesia","The evolving landscape of social media in the present day contributes to the revitalization of social relationship. The use of social media platforms continues to integrate into adolescents of life and essential for identity development. Adolescentes have a need for self-existence, and social media serves as a medium to fulfil this need within their friendship circles. This research aims to seek the relationship between self-esteem and online self-representation among adolescents who use instagram. This study employed quantitative approach with correlation method. The data were collected using two instruments: a self-esteem scale and online self-representation scale. The respondents of this research were 154 adolescents in MAN Bangkalan. The analysis was conducted using simple regression. The results showed that the self-esteem had a significant effect on online self-representation, resulting in meaningful contribution of 6%. © The Authors, published by EDP Sciences.","instagram; online self-presentation; self esteem","","EDP Sciences","25550403","","","","English","E3S Web Conf.","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85189242123"
"Lozano-Muñoz N.; Borrallo-Riego Á.; Guerra-Martín M.D.","Lozano-Muñoz, Noelia (57863405600); Borrallo-Riego, Álvaro (57215275533); Guerra-Martín, María Dolores (55540432000)","57863405600; 57215275533; 55540432000","Effectiveness of interventions to help mitigate the influence of social networks on anorexia and bulimia nervosa: a systematic review; [Efectividad de las intervenciones para mitigar la influencia de las redes sociales en la anorexia y bulimia nerviosa: una revisión sistemática]","2024","Anales del Sistema Sanitario de Navarra","47","1","e1074","","","4","10.23938/ASSN.1074","https://www.scopus.com/pages/publications/85190902382?origin=resultslist","Servicio Andaluz de Salud, Centro de Salud de Constantina, Sevilla, Spain; Universidad de Sevilla, Facultad de Enfermería, Fisioterapia y Podología, Departamento de Enfermería, Sevilla, Spain; Instituto de Biomedicina de Sevilla (IBiS), Sevilla, Spain","Lozano-Muñoz N., Servicio Andaluz de Salud, Centro de Salud de Constantina, Sevilla, Spain; Borrallo-Riego Á., Universidad de Sevilla, Facultad de Enfermería, Fisioterapia y Podología, Departamento de Enfermería, Sevilla, Spain, Instituto de Biomedicina de Sevilla (IBiS), Sevilla, Spain; Guerra-Martín M.D., Universidad de Sevilla, Facultad de Enfermería, Fisioterapia y Podología, Departamento de Enfermería, Sevilla, Spain, Instituto de Biomedicina de Sevilla (IBiS), Sevilla, Spain","Background. The study aim to analyze the impact of interventions to help mitigate the influence of social networks on anorexia and bulimia nervosa. Methodology. A systematic review was conducted using PubMed, Scopus, PsycINFO and Web of Science. The inclusion criteria were: randomized clinical trials, published between 2013 and 2023 with a score ≥ 5 points on the Van Tulder methodological quality scale. Results. Eight studies were selected, most carried out in secondary education centers or universities; one was online. The study sample consisted of 5,084 participants mainly young women and adolescents with an average age between 12 and 32 years. As for the social networks, some studies described their impact at a general level, while others focused on Instagram, Facebook, Tik-Tok, Twitter, and Snapchat. A positive correlation was found between the exposure to unrealistic beauty ideals found in social networks with greater concern and dissatisfaction with body image. All studies used instruments to assess the effectiveness of the interventions. The interventions helped reduce the influence of the media and social networks, improve self-perception and self-esteem assessments, reduce anxiety levels and internalization of the thin beauty ideal, reduce dietary restrictions, and make use of social networks differently. Conclusions. Longer-lasting interventions can improve body satisfaction (one year) and depressive symptoms (six months), especially in women. Interventions should include attention to self-criticism, self-perception, self-esteem, body image, nutritional management, and media literacy skills. © 2024 Gobierno de Navarra. Artíc.","Anorexia Nervosa; Bulimia Nervosa; Randomized Controlled Trial; Social Networking; Systematic review","Adolescent; Adult; Anorexia; Bulimia Nervosa; Child; Female; Humans; Self Concept; Young Adult; anorexia; anxiety; body dissatisfaction; body image; bulimia; diet restriction; human; media literacy; randomized controlled trial (topic); Review; secondary education; self concept; self esteem; social network; systematic review; adolescent; adult; anorexia; bulimia; child; female; self concept; young adult","Gobierno de Navarra","11376627","","ASSNF","38626133","Spanish","An. Sist. Sanit. Navarra","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85190902382"
"Brown C.; Larson K.; Cockrum B.; Hawryluk B.; Moore C.M.; Wiehe S.E.; Chan K.H.","Brown, Charlene (59261097500); Larson, Kristen (59260739800); Cockrum, Brandon (57204043627); Hawryluk, Bridget (57567957300); Moore, Courtney M. (56226414200); Wiehe, Sarah E. (8607741000); Chan, Katherine H. (57192121379)","59261097500; 59260739800; 57204043627; 57567957300; 56226414200; 8607741000; 57192121379","Development of a prototype of a patient-reported outcomes measure for hypospadias care, the Patient Assessment Tool for Hypospadias (PATH)","2024","Journal of Pediatric Urology","20","6","","1072","1081","2","10.1016/j.jpurol.2024.07.028","https://www.scopus.com/pages/publications/85201305631?origin=resultslist","Department of Urology, University of North Carolina School of Medicine, 170 Manning Drive, Chapel Hill, 27599, NC, United States; Research Jam, Indiana Clinical and Translational Sciences Institute, Indianapolis, IN, United States; Department of Pediatrics, Indiana University School of Medicine, Indianapolis, Indiana, 170 Manning Drive, Chapel Hill, 27599, NC, United States; Department of Pediatrics, University of North Carolina School of Medicine, Chapel Hill, NC, United States","Brown C., Department of Urology, University of North Carolina School of Medicine, 170 Manning Drive, Chapel Hill, 27599, NC, United States; Larson K., Department of Urology, University of North Carolina School of Medicine, 170 Manning Drive, Chapel Hill, 27599, NC, United States; Cockrum B., Research Jam, Indiana Clinical and Translational Sciences Institute, Indianapolis, IN, United States; Hawryluk B., Research Jam, Indiana Clinical and Translational Sciences Institute, Indianapolis, IN, United States; Moore C.M., Research Jam, Indiana Clinical and Translational Sciences Institute, Indianapolis, IN, United States; Wiehe S.E., Research Jam, Indiana Clinical and Translational Sciences Institute, Indianapolis, IN, United States, Department of Pediatrics, Indiana University School of Medicine, Indianapolis, Indiana, 170 Manning Drive, Chapel Hill, 27599, NC, United States; Chan K.H., Department of Urology, University of North Carolina School of Medicine, 170 Manning Drive, Chapel Hill, 27599, NC, United States, Department of Pediatrics, University of North Carolina School of Medicine, Chapel Hill, NC, United States","Introduction/Background: Patient-reported outcome measures (PROMs) for hypospadias care are lacking, and most existing instruments were developed without patient input. Objective: The objective of this study was to 1) use our previously developed Hypospadias Journal for concept elicitation in a sample of adolescent and young adult hypospadias patients and 2) develop a new hypospadias PROM. Study design: We recruited English-speaking males ages 13–30 living in the United States with a self-reported history of hypospadias through targeted advertisements on Facebook and Instagram from March to June 2022. Using a Qualtrics screening survey ineligible respondents were identified using automated fraud detection and manual review. Consenting participants were sent an electronic Hypospadias Journal containing brief creative writing exercises and multiple-choice scales to facilitate participant reflections about genital appearance, urination, sexual function, and psychosocial well-being. Demographics were summarized using descriptive statistics. Human-centered design researchers synthesized the journals’ key themes to 1) create an affinity diagram with hypospadias-related quality of life (QOL) domains and 2) draft items for the PROM covering each domain and sub-domain. Journal participants were asked to complete a survey to 1) rank hypospadias QOL domains, subdomains, and draft items for the PROM, and 2) explore their preferences for item phrasing. In a small group virtual interview, a urologist and a hypospadias patient reviewed and revised draft PROM items, and a final PROM was created. Results: Of the 411 completed screening surveys, 391 were ineligible. Journals were sent to 20 eligible participants. Of these, 12 completed journals: 8 adults; 4 adolescents (11 surgical/1 non-surgical): 66.7% White, 8.3% Black, 16.7% Asian, 8.3% >1 race. The meatal location was distal for 41.7%, proximal for 41.7%, unknown/missing for 16.7%. We identified four hypospadias-related quality-of-life domains and 13 respective sub-domains (Extended Summary Figure) of these, two were novel domains: 1) knowledge about the condition/treatment and comfort with treatment decision, and 2) impact on relationships with caregivers, medical providers, and sexual partners. A final PROM prototype, the Patient Assessment Tool for Hypospadias (PATH) was created, covering all QOL domains identified by participants. Discussion: We created a simple, brief hypospadias PROM to screen for salient topics to be addressed by providers in the clinical setting. Limitations include the small sample size and limited clinical details about participants. Conclusions: Our study provides a hypospadias PROM that is ready for psychometric assessment in a larger sample. © 2024 Journal of Pediatric Urology Company","Human-centered design; Hypospadias; Patient reported outcome measures; Quality of life","Adolescent; Adult; Humans; Hypospadias; Male; Patient Reported Outcome Measures; Quality of Life; Self Report; Surveys and Questionnaires; Young Adult; adolescent; adult; advertising; anxiety; Article; Asian; Black person; caregiver; Caucasian; child urology; clinical assessment tool; diagnosis; exercise; fraud; gender identity; health care; health care personnel; human; hypospadias; interview; knowledge; Likert scale; major clinical study; male; mental health; micturition; multiple choice test; outcome assessment; patient assessment; patient counseling; patient-reported outcome; physiotherapy; quality of life; race; sample size; self esteem; sexual function; sexuality; social media; universal design; psychology; quality of life; questionnaire; self report; young adult","Elsevier Ltd","14775131","","","39153923","English","J. Pediatr. Urol.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85201305631"
